,Code,SMILES
107,EN00026,FC(F)(F)OC1=CC=C(C=C1)OC(C=C2)=CC=C2NC(CSCC(O)=O)=O
108,EN00044,O=S(C1=CC(Cl)=C(Cl)C=C1Cl)(NC(C=C2)=CC=C2OC3=CC=C(OC(F)(F)F)C=C3)=O
109,EN00072,O=S(C1=CC=CC(Cl)=C1)(NC2=CC=C(OC3=CC=C(OC(F)(F)F)C=C3)C=C2)=O
110,EN00095,O=S(C(C=C1)=CC(Cl)=C1NC(C)=O)(NC(C=C2)=CC=C2OC3=CC=C(OC(F)(F)F)C=C3)=O
111,EN00108,FC(F)(F)OC1=CC=C(C=C1)OC2=CC=C(NC(CCC(O)=O)=O)C=C2
112,EN00152,CC1=CC=CC(C)=C1N2C(SCC3=CC(F)=CC(F)=C3)=NN=N2
113,EN00193,O=S(C1=CC(Cl)=CC=C1Cl)(N(CCC2)CCN2C(OC(C)(C)C)=O)=O
114,EN00222,OC(CNCC(C=C1)=C(Cl)C=C1Cl)CN2C(C(C=C3)=CC=C3F)=CC4=CC=CC=C24
115,EN00236,OC(CNCCC1=CC=C(OC)C(OC)=C1)CN2C3=CC=CC=C3C=C2
116,EN00013,S=C(NCC1=CC=CO1)NC2=CC=C(C=C2)C3=NCCO3
117,EN00027,C1(C2=CC=CS2)=CC(C=CC=C3)=C3N1
118,EN00051,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NC3CCCCCCC3)=S
119,EN00074,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NC3=CC(Cl)=CC(Cl)=C3)=S
120,EN00096,CC1=NC(C2=CC=C(S(N(CC3)CCC3C(OCC)=O)(=O)=O)S2)=CS1
121,EN00120,OC(C1(CC(O)=O)CCCC1)=O
122,EN00164,FC(F)(F)C1=NC(OC(C=C2)=CC=C2/C=N/NC(NC3=C(Cl)C=CC(Cl)=C3)=S)=NC=C1
123,EN00194,S=C(N(CC1)CCN1C2=NC=CC(C(F)(F)F)=N2)NC3=CC=CC=C3N4CCOCC4
124,EN00223,FC(F)(F)C1=NC(N(CC2)CCN2C(NC3=CC=C(C)C=C3C)=S)=NC=C1
125,EN00242,FC(F)(F)C1=NC(N(CC2)CCN2CC(O)CSC3=CC=CC=C3)=NC=C1
126,EN00016,FC(F)(F)C1=NC(N(CC2)CCN2C(/C=C/C(O)=O)=O)=NC=C1
127,EN00029,FC(F)(F)C1=NC(N(CC2)CCN2CC(O)COC(C=C3)=CC=C3F)=NC=C1
128,EN00056,O=C(N1C(C=C2)=CC=C2OC(F)(F)F)C3(CCCC3)CC1=O
129,EN00078,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NC(C=C3)=C(F)C=C3F)=S
130,EN00097,S=C(N(CCC1)CCN1C2=NC=C(C(F)(F)F)C=C2)NC3=C(C=CC=C3)N4CCOCC4
131,EN00124,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NS(C(C=C3)=CC=C3C)(=O)=O)=O
132,EN00170,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NC3=CC=CN=C3)=S
133,EN00195,FC(F)(F)C1=CC=NC(C2=CC=CC=C2)=N1
134,EN00225,CC(NC1=CC([N+]([O-])=O)=CC=C1SC2=CC=CC=C2N)=O
135,EN00243,ClC1=CC=C2N=C(SC2=C1)N(CC3)CCC3C(OCC)=O
136,EN00018,ClC1=CC=C2N=C(SC2=C1)N3CCCNCC3
137,EN00032,O=C(C1=CC=CS1)N(CCC2)CCN2C(OC(C)(C)C)=O
138,EN00057,ClC1=CC=C2N=C(SC2=C1)N(CCC3)CCN3C(NC4=C(Cl)C=CC=C4C)=O
139,EN00082,ClC1=CC=C2N=C(SC2=C1)N(CCC3)CCN3C(NC4=CC=CC=C4C(F)(F)F)=O
140,EN00099,FC(F)(F)C1=CC=CN=C1N(CCC2)CCN2C(NC3=C(Cl)C=CC=C3C)=O
141,EN00127,FC(F)(F)C1=CC=CN=C1N(CCC2)CCN2C(NC3=CC=CC=C3C(F)(F)F)=O
142,EN00186,ClC1=CC=C2N=C(SC2=C1)N(CCC3)CCN3C(NC4CCCCCCC4)=S
143,EN00198,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NC3=C(Cl)C=CC=C3C)=O
144,EN00226,FC(F)(F)C1=CN=C(C=C1)N(CCC2)CCN2C(NC3=CC=CC=C3C(F)(F)F)=O
145,EN00244,O=S(C1=CC=CC(Cl)=C1Cl)(N(CCC2)CCN2C(C3=CC=CS3)=O)=O
146,EN00021,N#C/C(C1=CC(C(F)(F)F)=CC=C1)=C\N(C)C
147,EN00033,ClC1=CC(Br)=CC=C1N/C=C/C(C(F)(F)F)=O
148,EN00058,CC(CO)(CO)NCC(O)COC1=CC=C(OC(F)(F)F)C=C1
149,EN00085,FC(F)(F)C1=CC=NC(N(CC2)CCN2CC(O)COC3=CC=C(OC(F)(F)F)C=C3)=N1
150,EN00100,OC(COC1=CC=C(OC(F)(F)F)C=C1)CN(CC2)CCN2C(OCC)=O
151,EN00129,O=C(C1=CC=CS1)N(CCC2)CCN2CC(O)COC3=CC=C(Cl)C(Cl)=C3.Cl
152,EN00187,OC(CS(CC1=CC=CC=C1)(=O)=O)COC(C=C2)=CC=C2OC(F)(F)F
153,EN00205,O=S(N(CCC1)CCN1C(OC(C)(C)C)=O)(C2=CC=C(Cl)C=C2)=O
154,EN00228,ClC1=C(C=CC(Cl)=C1)NC(N(CCC2)CCN2C(OC(C)(C)C)=O)=S
155,EN00245,O=S(C(C=C1)=CC=C1C)(NC(NCCNC(OC(C)(C)C)=O)=O)=O
156,CC00005,S=C(NCCNC(OC(C)(C)C)=O)NC1CCCCCCC1
157,CC00501,O=S(C(C=C1)=CC=C1Cl)(NNC(NC2=CC=CC=C2F)=S)=O
